zpid,home_type,posted,daysOnMarket,home_URL,home_status,home_price,home_address,home_zipcode,num_beds,num_baths,home_area,land_area,sold_price,sold_date,daysOnZillow_soldPage,area,Avg_Sqrt_listing,Avg_Sqrt_sold,difference_Avg_Sqrt,total_Pct_Change_price
31106082,SINGLE_FAMILY,2025-05-21,41,https://www.zillow.com/homedetails/111-Raff-Ave-Mineola-NY-11501/31106082_zpid/,FOR_SALE,949000,"111 Raff Avenue, Mineola, NY 11501",11501,6.0,3.0,1858.0,6000.0,,,,Mineola,511,,,
31107060,SINGLE_FAMILY,2025-06-14,17,https://www.zillow.com/homedetails/341-Marcellus-Rd-Mineola-NY-11501/31107060_zpid/,FOR_SALE,789000,"341 Marcellus Road, Mineola, NY 11501",11501,3.0,1.0,1484.0,3500.0,,,,Mineola,532,,,
31108990,MULTI_FAMILY,2025-05-21,41,https://www.zillow.com/homedetails/221-Lincoln-Ave-Mineola-NY-11501/31108990_zpid/,FOR_SALE,899000,"221 Lincoln Avenue, Mineola, NY 11501",11501,3.0,2.0,1174.0,5000.0,,,,Mineola,766,,,
450811597,MULTI_FAMILY,2025-05-07,55,https://www.zillow.com/homedetails/160-Garfield-Ave-FLOOR-2-Mineola-NY-11501/450811597_zpid/,FOR_SALE,949000,"160 Garfield Avenue #2, Mineola, NY 11501",11501,3.0,2.0,1710.0,4800.0,,,,Mineola,555,,,
31106145,SINGLE_FAMILY,2023-02-18,864,https://www.zillow.com/homedetails/165-Raff-Ave-Mineola-NY-11501/31106145_zpid/,FOR_SALE,777000,"165 Raff Ave, Mineola, NY 11501",11501,3.0,1.0,1155.0,5000.0,,,,Mineola,673,,,
31186586,SINGLE_FAMILY,2025-04-03,89,https://www.zillow.com/homedetails/309-S-11th-St-New-Hyde-Park-NY-11040/31186586_zpid/,FOR_SALE,659000,"309 S 11th Street, New Hyde Park, NY 11040",11040,3.0,3.0,1000.0,2500.0,,,,New Hyde Park,659,,,
31096250,SINGLE_FAMILY,2025-06-25,6,https://www.zillow.com/homedetails/4-New-Hyde-Park-Rd-New-Hyde-Park-NY-11040/31096250_zpid/,FOR_SALE,729000,"4 New Hyde Park Road, New Hyde Park, NY 11040",11040,4.0,2.0,1320.0,3840.0,,,,New Hyde Park,552,,,
31100579,SINGLE_FAMILY,2025-06-19,12,https://www.zillow.com/homedetails/10-Wilton-St-New-Hyde-Park-NY-11040/31100579_zpid/,FOR_SALE,785000,"10 Wilton Street, New Hyde Park, NY 11040",11040,4.0,1.0,1125.0,4000.0,,,,New Hyde Park,698,,,
31096458,SINGLE_FAMILY,2025-05-14,48,https://www.zillow.com/homedetails/1639-Belmont-Ave-New-Hyde-Park-NY-11040/31096458_zpid/,FOR_SALE,775000,"1639 Belmont Avenue, New Hyde Park, NY 11040",11040,4.0,2.0,1384.0,4700.0,,,,New Hyde Park,560,,,
31093756,SINGLE_FAMILY,2025-05-11,51,https://www.zillow.com/homedetails/907-N-2nd-St-New-Hyde-Park-NY-11040/31093756_zpid/,FOR_SALE,749000,"907 N 2nd Street, New Hyde Park, NY 11040",11040,3.0,3.0,1222.0,5000.0,,,,New Hyde Park,613,,,
